Timestamp,What is your occupation?,Where do you spend most of your free time?,How much time do you spend on streaming services?,How much time do you spend on gaming?,How much time do you spend on social media?,What are you most worried about during this time?,ONE word that describes your mood right now.,Where are you located ?
29/03/2020 03:48:55,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",< 1 hour,< 1 hour,< 1 hour,Economy,Frustated,
29/03/2020 04:03:09,Business ,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,Economy,Find a Cure for COVID-19,
29/03/2020 04:07:03,Retired,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,,< 1 hour,Economy,Optimistic that this phase will pass away one day. ,
29/03/2020 04:11:23,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,,< 1 hour,Family,Worried ,
29/03/2020 04:52:20,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,< 1 hour,Family,"stressed, bored",
29/03/2020 05:14:02,Retired,"Online Courses (Coursera, LinkedIn Learning, Udemy)",1 - 3 hours,1 - 3 hours,1 - 3 hours,Lokha Sanastha dukkho Bhavantu,Faith in god,
29/03/2020 05:52:16,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,1 - 3 hours,< 1 hour,Being stuck at home,"Worried about people(daily wage workers, vendors, etc) who can't go home, and don't have proper access to food and basic amenities due to lock down. ",
29/03/2020 09:51:43,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,Family,Anxious,
29/03/2020 10:27:28,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,> 3 hours,Family,Anxious about current events ,
29/03/2020 10:41:13,Home-maker,"Streaming services (Netflix, Amazon Prime, Youtube)",< 1 hour,1 - 3 hours,< 1 hour,Job,Boredom,
